Restaurant,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Kushi Tsuru,"[[690, 1260]]","[[690, 1260]]","[[690, 1260]]","[[690, 1260]]","[[690, 1260]]","[[690, 1260]]","[[690, 1260]]"
Osakaya Restaurant,"[[690, 1260]]","[[690, 1260]]","[[690, 1260]]","[[690, 1260]]","[[690, 1290]]","[[690, 1290]]","[[690, 1260]]"
The Stinking Rose,"[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1380]]","[[690, 1380]]","[[690, 1320]]"
McCormick & Kuleto's,"[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1380]]","[[690, 1380]]","[[690, 1320]]"
Mifune Restaurant,"[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]","[[660, 1320]]"
The Cheesecake Factory,"[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1440]]","[[0, 30], [660, 1440]]","[[0, 30], [600, 1380]]"
New Delhi Indian Restaurant,"[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[1050, 1320]]"
Iroha Restaurant,"[[690, 1290]]","[[690, 1290]]","[[690, 1290]]","[[690, 1290]]","[[690, 1320]]","[[690, 1320]]","[[690, 1290]]"
Rose Pistola,"[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1320]]","[[690, 1380]]","[[690, 1380]]","[[690, 1380]]"
Alioto's Restaurant,"[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]","[[660, 1380]]"
Canton Seafood & Dim Sum Restaurant,"[[630, 1290]]","[[630, 1290]]","[[630, 1290]]","[[630, 1290]]","[[630, 1290]]","[[600, 1290]]","[[600, 1290]]"
All Season Restaurant,"[[600, 1290]]","[[600, 1290]]","[[600, 1290]]","[[600, 1290]]","[[600, 1290]]","[[570, 1290]]","[[570, 1290]]"
Bombay Indian Restaurant,"[[690, 1350]]","[[690, 1350]]","[[690, 1350]]","[[690, 1350]]","[[690, 1350]]","[[690, 1350]]","[[690, 1350]]"
Sam's Grill & Seafood Restaurant,"[[660, 1260]]","[[660, 1260]]","[[660, 1260]]","[[660, 1260]]","[[660, 1260]]","[[1020, 1260]]",[]
